iter	Passed	Remaining
257	397	1142
258	398	1139
259	399	1135
260	399	1132
261	400	1128
262	401	1124
263	402	1122
264	406	1126
265	407	1123
266	407	1119
267	408	1116
268	409	1112
269	410	1109
270	411	1105
271	411	1101
272	412	1098
273	413	1094
274	413	1090
275	414	1087
276	415	1083
277	415	1079
278	416	1076
279	417	1074
280	419	1072
281	420	1069
282	421	1067
283	421	1063
284	422	1060
285	423	1057
286	424	1053
287	425	1051
288	425	1047
289	426	1044
290	427	1041
291	428	1038
292	428	1034
293	429	1031
294	430	1028
295	431	1025
296	432	1023
297	433	1021
298	434	1019
299	436	1017
300	436	1014
301	437	1011
302	438	1008
303	439	1006
304	440	1003
305	441	1000
306	442	998
307	443	995
308	443	992
309	444	989
310	445	987
311	448	987
312	450	988
313	452	987
314	453	985
315	453	982
316	454	980
317	455	977
318	456	974
319	457	972
320	458	969
321	458	966
322	459	963
323	460	961
324	462	961
325	465	962
326	466	959
327	467	957
328	468	955
329	469	953
330	470	951
331	471	948
332	472	945
333	473	943
334	473	940
335	474	938
336	475	935
337	476	932
338	477	931
339	479	930
340	480	928
341	481	925
342	481	922
343	482	920
344	483	918
345	484	916
346	485	913
347	486	911
348	487	908
349	487	906
350	488	903
351	489	901
352	491	901
353	497	907
354	498	905
355	500	905
356	501	903
357	502	901
358	503	898
359	504	896
360	504	893
361	505	891
362	506	889
363	509	890
364	514	894
365	515	893
366	517	891
367	518	889
368	519	887
369	520	885
370	521	884
371	522	881
372	524	881
373	526	881
374	528	880
375	529	878
376	530	876
377	533	878
378	534	875
379	535	873
380	535	870
381	537	868
382	547	882
383	548	880
384	549	878
385	550	876
386	552	875
387	553	873
388	555	873
389	559	875
390	561	873
391	562	871
392	563	870
393	565	870
394	567	868
395	568	866
396	568	863
397	573	867
398	576	868
399	577	866
400	578	864
401	579	862
402	580	860
403	582	859
404	583	857
405	584	855
406	588	857
407	591	857
408	593	857
409	594	855
410	595	853
411	596	851
412	598	850
413	599	848
414	601	848
415	607	852
416	610	853
417	611	851
418	612	849
419	613	846
420	614	844
421	615	842
422	616	841
423	618	840
424	619	838
425	621	837
426	622	836
427	624	834
428	625	831
429	625	829
430	626	827
431	627	825
432	629	824
433	631	823
434	633	822
435	634	820
436	637	821
437	638	818
438	639	816
439	639	814
440	640	811
441	641	809
442	642	807
443	642	805
444	643	802
445	644	800
446	647	800
447	649	799
448	650	798
449	651	796
450	652	794
451	653	791
452	654	790
453	655	787
454	656	785
455	656	783
456	657	781
457	658	779
458	662	780
459	665	781
460	667	780
461	668	778
462	669	776
463	670	774
464	671	772
465	671	769
466	672	767
467	673	765
468	677	766
469	678	765
470	680	764
471	682	763
472	683	761
473	684	759
474	685	757
475	686	755
476	687	753
477	690	754
478	694	754
479	696	754
